activity_id,data,nome,tipo,duracao_s,distancia_m,calorias,fc_media,fc_maxima,velocidade_media,velocidade_maxima,elevacao_ganho,efeito_aerobico,efeito_anaerobico,carga_atividade,label_efeito,min_moderados,min_vigorosos,body_battery_impacto,temperatura_min,temperatura_max,local,hr_zona_1_s,hr_zona_2_s,hr_zona_3_s,hr_zona_4_s,hr_zona_5_s
22859796249,2026-05-12,São Vicente Running,running,1152.041015625,3083.6201171875,216.0,141.0,151.0,2.6770000457763667,3.5179998874664307,9.0,2.0999999046325684,0.0,29.451080322265625,RECOVERY,2,17,-4,26.0,27.0,São Vicente,15.999,1115.039,14.999,0.0,0.0
22852426949,2026-05-12,Pool Swim,lap_swimming,3320.846923828125,1600.0,443.0,122.0,152.0,0.6759999990463257,1.3569999933242798,,2.299999952316284,0.5,42.67582702636719,AEROBIC_BASE,27,24,,,,,1344.179,1702.875,2.224,0.0,0.0
22840478526,2026-05-11,Strength,strength_training,1701.7359619140625,0.0,77.0,78.0,114.0,0.0,,,0.10000000149011612,0.0,1.4569091796875,UNKNOWN,2,0,-3,,,,45.588,0.0,0.0,0.0,0.0
22824357699,2026-05-09,Pool Swim,lap_swimming,3100.1259765625,1400.0,417.0,122.0,151.0,0.6919999718666077,0.8450000286102295,,2.0999999046325684,0.10000000149011612,31.404571533203125,AEROBIC_BASE,28,19,,,,,1262.998,1733.499,0.0,0.0,0.0
22822159302,2026-05-09,São Vicente Running,running,1392.9820556640625,3612.56005859375,244.0,132.0,146.0,2.5929999351501465,3.619999885559082,7.0,2.0,0.0,25.120742797851562,RECOVERY,2,23,-5,31.0,36.0,São Vicente,64.92,1320.889,0.0,0.0,0.0
22818762346,2026-05-09,São Vicente Cycling,cycling,7200.466796875,45361.05859375,803.0,118.0,152.0,6.300000190734863,9.303000450134277,80.0,2.299999952316284,0.10000000149011612,38.61741638183594,AEROBIC_BASE,101,11,-20,26.0,30.0,São Vicente,2196.901,4914.806,75.952,0.0,0.0
22806342512,2026-05-08,Pool Swim,lap_swimming,3100.035888671875,1400.0,360.0,114.0,142.0,0.6959999799728392,1.6519999504089355,,1.600000023841858,0.0,18.695098876953125,AEROBIC_BASE,40,8,,,,,2028.424,731.424,0.0,0.0,0.0
22794384149,2026-05-07,São Vicente - Ritmo de Prova @4:27,running,2671.172119140625,8475.9501953125,540.0,145.0,179.0,3.1730000972747807,4.255000114440918,6.0,3.5,0.0,114.55465698242188,TEMPO,2,42,-12,26.0,28.0,São Vicente,408.183,947.587,1293.229,0.0,0.0
22782962510,2026-05-06,Pool Swim,lap_swimming,3084.501953125,1275.0,324.0,111.0,142.0,0.6340000033378601,1.1759999990463257,,1.2999999523162842,0.0,16.449356079101562,RECOVERY,36,7,,,,,2225.441,411.95,0.0,0.0,0.0
22782460664,2026-05-06,São Vicente Cycling,cycling,3000.4169921875,17675.98046875,282.0,106.0,133.0,5.890999794006347,7.818999767303467,22.0,0.8999999761581421,0.0,11.108306884765625,RECOVERY,44,1,-7,24.0,29.0,São Vicente,2747.285,184.566,0.0,0.0,0.0
