data,duracao_total_min,sono_profundo_min,sono_leve_min,sono_rem_min,acordado_min,vezes_acordado,momentos_agitados,score_geral,score_geral_qualif,score_rem_pct,score_rem_qualif,score_deep_pct,score_deep_qualif,score_light_pct,score_duracao_qualif,score_stress_qualif,score_agitacao_qualif,feedback_sono,insight_personalizado,hrv_medio_noite,hrv_status,fc_media_sono,fc_repouso,respiracao_media,respiracao_minima,respiracao_maxima,stress_medio_sono,body_battery_variacao,sono_necessidade_baseline,sono_necessidade_real,sono_ajuste_treino,sono_ajuste_hrv
2025-11-17,447.7,128.0,209.0,111.0,10.0,1,,85,GOOD,25,EXCELLENT,29,EXCELLENT,47,GOOD,FAIR,EXCELLENT,POSITIVE_LONG_AND_REFRESHING,HARD_EXERCISE_POS_EXCELLENT_OR_GOOD_SLEEP_HARD_DURING_DAY,,,50.0,44,13.0,8.0,19.0,20.0,67,480,510,TODAYS_LOAD_AND_CHRONIC,INCREASING
2025-11-18,412.4,109.0,209.0,95.0,0.0,0,,85,GOOD,23,EXCELLENT,26,EXCELLENT,51,FAIR,EXCELLENT,EXCELLENT,POSITIVE_CONTINUOUS,STRESS_POS_EXCELLENT_OR_GOOD_SLEEP_VERY_RESTFUL_DAY,,,47.0,43,13.0,7.0,20.0,12.0,69,480,480,NO_CHANGE,NO_CHANGE
2025-11-19,406.7,61.0,256.0,90.0,0.0,0,,83,GOOD,22,GOOD,15,FAIR,63,FAIR,EXCELLENT,EXCELLENT,POSITIVE_CONTINUOUS,STRESS_POS_EXCELLENT_OR_GOOD_SLEEP_VERY_RESTFUL_DAY,,,46.0,42,12.0,7.0,19.0,11.0,67,480,480,NO_CHANGE,NO_CHANGE
2025-11-20,415.9,93.0,243.0,80.0,6.0,0,,85,GOOD,19,FAIR,22,EXCELLENT,58,FAIR,EXCELLENT,EXCELLENT,POSITIVE_DEEP,STRESS_POS_EXCELLENT_OR_GOOD_SLEEP_RESTFUL_EVENING,,,46.0,41,12.0,7.0,17.0,12.0,59,480,480,NO_CHANGE,NO_CHANGE
2025-11-21,362.0,84.0,264.0,14.0,7.0,1,,61,FAIR,4,POOR,23,EXCELLENT,73,FAIR,FAIR,EXCELLENT,NEGATIVE_NOT_ENOUGH_REM,RHYTHM_NEG_FAIR_SLEEP_REALLY_LATE_TIMING,,,54.0,47,13.0,8.0,18.0,19.0,50,480,480,NO_CHANGE,NO_CHANGE
2025-11-22,266.0,68.0,159.0,39.0,3.0,0,,57,POOR,15,FAIR,26,EXCELLENT,60,POOR,FAIR,EXCELLENT,POSITIVE_SHORT_BUT_DEEP,GENERAL_POS_FAIR_OR_POOR_SLEEP,,,53.0,47,12.0,6.0,19.0,16.0,44,480,530,NO_CHANGE,NO_CHANGE
2025-11-23,457.0,163.0,254.0,40.0,15.0,1,,76,FAIR,9,POOR,36,EXCELLENT,56,EXCELLENT,FAIR,GOOD,NEGATIVE_LONG_BUT_NOT_ENOUGH_REM,GENERAL_NEG_FAIR_OR_POOR_SLEEP,,,52.0,48,14.0,6.0,19.0,20.0,63,480,540,NO_CHANGE,NO_CHANGE
2025-11-24,292.3,59.0,234.0,0.0,38.0,3,,48,POOR,0,POOR,20,EXCELLENT,80,POOR,FAIR,FAIR,NEGATIVE_SHORT_AND_POOR_STRUCTURE,MOD_EXERCISE_NEG_FAIR_OR_POOR_SLEEP_INACTIVITY,,,61.0,48,14.0,8.0,22.0,24.0,30,480,520,NO_CHANGE,NO_CHANGE
2025-11-25,438.9,113.0,270.0,56.0,0.0,0,,82,GOOD,13,FAIR,26,EXCELLENT,62,GOOD,FAIR,EXCELLENT,POSITIVE_LONG_AND_DEEP,STRESS_POS_EXCELLENT_OR_GOOD_SLEEP_RESTFUL_DAY,,,50.0,46,13.0,8.0,17.0,16.0,71,480,540,NO_CHANGE,NO_CHANGE
2025-11-26,382.0,68.0,264.0,50.0,1.0,0,,76,FAIR,13,FAIR,18,GOOD,69,FAIR,FAIR,EXCELLENT,POSITIVE_CONTINUOUS,GENERAL_POS_FAIR_OR_POOR_SLEEP,,,53.0,49,12.0,7.0,18.0,17.0,59,480,510,NO_CHANGE,NO_CHANGE
2025-11-27,393.2,170.0,173.0,51.0,6.0,0,,78,FAIR,13,FAIR,43,EXCELLENT,44,FAIR,GOOD,EXCELLENT,POSITIVE_CONTINUOUS,GENERAL_POS_FAIR_OR_POOR_SLEEP,,,50.0,46,13.0,8.0,19.0,15.0,64,480,520,NO_CHANGE,INCREASING
